Solution,Category,Used By
Empeon,HR / Payroll / Workforce,Wellbound
Viventium,HR / Payroll / Workforce,Arista
Showd.me,Training / LMS / Compliance,Both
Homecare Homebase,Clinical / EMR / Home Health,
HHAeXchange,Clinical / Home Care / EVV,
Netsmart,Clinical / EMR,
CareStream,Clinical / Intake / CRM,
ARLA,Home Care Automation / AI,
Availity,Healthcare Payer / Eligibility,
Optum,Healthcare Payer / Claims / Eligibility,
eSolutions,Healthcare Payer / Eligibility / Claims,
iQIES,CMS / Regulatory / Quality Reporting,
SHP Data,Healthcare Analytics / Quality Reporting,
Business 365,Productivity / Office,
Monday.com,Productivity / Project Management,
Dropbox,Productivity / File Storage,
Appointlet,Productivity / Scheduling,
Wufoo Forms,Forms / Data Collection,
Jotform,Forms / Data Collection,
BoldSign,E-Signature / Documents,
PDF-XChange,Documents / PDF,
Adobe,Creative / Documents,
Canva,Creative / Design,
Mailchimp,Marketing / Email,
Hootsuite,Marketing / Social Media,
VistaPrint,Marketing / Printing,
SmartSign2Go,Digital Signage,
AWS,IT Infrastructure / Cloud,
Cloudflare,IT Infrastructure / Web / DNS,
SiteGround,IT Infrastructure / Web Hosting,
GoDaddy,IT Infrastructure / Domains / Hosting,
Clerk Auth,IT Infrastructure / Authentication,
SMTP2GO,Communications / Email Infrastructure,
Twilio,Communications / SMS / Voice,
FAXAGE,Communications / Fax,
NumberBarn.com,Communications / Phone Numbers,
Windstream,Communications / Telecom,
DynaLink Billcenter,Communications / Telecom,
LogMeIn,IT Support / Remote Access,
Citrix Workspace,IT Support / Remote Access,
BlueStacks,IT Tools / Android Virtualization,
InfloCare,CRM,
AxTraxNG,Physical Security / Access Control,
Amazon,Purchasing,
Relias,ACF Training,
Github,Version Management and Code,
Notion,Documents and SQL library,
Pointcare,Visit and Tracking,
ePaces,,
Waystar,,
Dataphone,Softphone / PBX,
Quill,Procurement / Office Supplies,
,,
